personality,item,correlation,p_value
Openness,NumberOfLecturesWatched,0.08752854857115441,0.37931157279922634
Openness,ViewingTime,0.08992668974097837,0.3663401739474128
Openness,NumberOfConfirmationTestsCompleted,-0.0037026751634428997,0.970389676067724
Openness,NumberOfConfirmationTestsMastered,0.013825951066403063,0.8897565894366707
Openness,AverageFirstAttemptCorrectAnswerRate,-0.01999439229284082,0.8411173554072979
Conscientiousness,NumberOfLecturesWatched,0.07493280257567814,0.45189336873247477
Conscientiousness,ViewingTime,0.07308902556708803,0.4631304150884632
Conscientiousness,NumberOfConfirmationTestsCompleted,0.2716682330258335,0.005505053317477493
Conscientiousness,NumberOfConfirmationTestsMastered,0.2893025781218675,0.00303744589323372
Conscientiousness,AverageFirstAttemptCorrectAnswerRate,-0.017844032733125653,0.858015254704481
Extraversion,NumberOfLecturesWatched,-0.019989003702395716,0.8411596132522707
Extraversion,ViewingTime,0.011793432158910237,0.9058825391685148
Extraversion,NumberOfConfirmationTestsCompleted,0.05422682170245126,0.5864234642139113
Extraversion,NumberOfConfirmationTestsMastered,0.04690416555401871,0.6380157990961595
Extraversion,AverageFirstAttemptCorrectAnswerRate,-0.08534848706592534,0.3913416242689358
Agreeableness,NumberOfLecturesWatched,0.2473160889701708,0.011782001625897695
Agreeableness,ViewingTime,0.1643089576925471,0.09721760945005502
Agreeableness,NumberOfConfirmationTestsCompleted,0.10936888007118119,0.2714500858323534
Agreeableness,NumberOfConfirmationTestsMastered,0.10960243242479444,0.2704216924024939
Agreeableness,AverageFirstAttemptCorrectAnswerRate,-0.09786236194956778,0.32539271786090673
Neuroticism,NumberOfLecturesWatched,0.1641418861030772,0.09756289397624525
Neuroticism,ViewingTime,0.20476828307170306,0.03800059285610954
Neuroticism,NumberOfConfirmationTestsCompleted,0.05150599417434016,0.605370895288381
Neuroticism,NumberOfConfirmationTestsMastered,0.04353582483605824,0.6623614389616204
Neuroticism,AverageFirstAttemptCorrectAnswerRate,0.10961895213787837,0.27034905146345667
